year,state,dismissed_count,prison_count,withdrawal_count,avg_decision_end_per1lakhcases,avg_fileend_per1lakhcases,avg_filecourt_per1lakhcases,pendingcases_count,pending_casesperlakh,criminal_count,criminal_perlakh,noncriminal_count,noncriminal_perlakh
2017,Andhra Pradesh,0,0,0,0,310,60,1656,0.01656,79525,0.79525,45845,0.45845
2017,Assam,0,566,0,0,339,68,3002,0.03002,52800,0.528,36124,0.36124
2017,Bihar,9,2,857,6,241,63,6501,0.06501,54902,0.54902,132444,1.32444
2017,Chandigarh,2,2,39,0,2903,19,0,0.0,10583,0.10583,1063,0.01063
2017,Chattisgarh,93,189,42,0,477,47,0,0.0,42355,0.42355,24785,0.24785
2017,DNH at silvasa,0,2,0,0,95954,4190,0,0.0,149,0.00149,173,0.00173
2017,Delhi,11,833,5034,0,256,21,0,0.0,97030,0.9703,38537,0.38537
2017,Diu and daman,0,0,0,0,24610,2509,0,0.0,385,0.00385,229,0.00229
2017,Goa,0,0,0,0,2104,194,0,0.0,9178,0.09178,2371,0.02371
2017,Gujarath,0,33884,0,0,101,10,0,0.0,185540,1.8554,88104,0.88104
2017,Haryana,65,0,4149,0,131,9,0,0.0,173864,1.73864,54964,0.54964
2017,Himachal Pradesh,0,0,0,0,575,68,6589,0.06589,41616,0.41616,14784,0.14784
2017,Jammu and kashmir,5,3,5,0,1562,478,915,0.00915,23208,0.23208,7365,0.07365
2017,Jharkhand,16,1342,113,1,468,47,1195,0.01195,20621,0.20621,47497,0.47497
2017,Karnataka,32,31053,0,1,67,7,57574,0.57574,298348,2.98348,125317,1.25317
2017,Kerala,6,11728,1,0,123,27,1723,0.01723,181271,1.81271,134457,1.34457
2017,Ladakh,0,0,0,0,305769,66220,0,0.0,95,0.00095,27,0.00027
2017,Madhya Pradesh,0,0,0,0,114,11,0,0.0,157515,1.57515,131364,1.31364
2017,Maharashtra,36,6998,0,0,78,5,27996,0.27996,356258,3.56258,151728,1.51728
2017,Manipur,0,3,0,5,2399,205,0,0.0,2982,0.02982,2492,0.02492
2017,Meghalaya,0,5,1,6,6278,82,0,0.0,2204,0.02204,485,0.00485
2017,Mizoram,0,0,0,0,46289,12556,0,0.0,463,0.00463,206,0.00206
2017,Orissa,7,159,40,4,547,79,10287,0.10287,69388,0.69388,46615,0.46615
2017,Punjab,0,0,982,0,148,5,0,0.0,141987,1.41987,55161,0.55161
2017,Rajasthan,129,8047,10,0,110,15,127745,1.27745,204990,2.0499,147316,1.47316
2017,Sikkim,2,24,0,0,7315,452,0,0.0,905,0.00905,745,0.00745
2017,Tamilnadu,0,0,0,0,149,21,40631,0.40631,175175,1.75175,81654,0.81654
2017,Telangana,0,0,0,0,544,150,0,0.0,42992,0.42992,40997,0.40997
2017,Tripura,1,26,0,7,7900,666,0,0.0,2380,0.0238,2064,0.02064
2017,Uttar pradesh,127,33,1150,0,35,5,62466,0.62466,590719,5.90719,392831,3.92831
2017,Uttarakhand,0,405,0,0,807,95,0,0.0,39058,0.39058,6570,0.0657
2017,West Bengal,1,3652,0,0,280,36,0,0.0,91193,0.91193,84525,0.84525
